review_id,source,language,review_date,stay_nights,traveler_type,trip_purpose,country,room_type,rating_overall,rating_staff,rating_cleanliness,rating_comfort,rating_location,rating_facilities,rating_value_for_money,review_title,review_text,would_return
BKG-10060,Booking.com,en,2025-06-01,1,Business,Business,PL,Standard Double,8,9,8,9,8,8,7,Decent for short stay,Excellent coffee and nice terrace.,True
BKG-10064,Booking.com,fr,2025-06-01,3,Couple,Leisure,IT,Superior Double,1,1,1,1,4,1,2,Could be better,Too expensive for what you get. Could hear noise from the corridor.,False
BKG-10143,Booking.com,es,2025-06-02,1,Business,Business,UK,Superior Double,9,10,10,8,8,10,9,Great stay,Great breakfast with fresh options.,True
BKG-10185,Booking.com,ru,2025-06-03,3,Couple,Business,IT,Twin,7,7,8,8,7,6,7,Decent for short stay,Bathroom needed better cleaning. Could hear noise from the corridor.,False
BKG-10113,Booking.com,it,2025-06-04,2,Solo,Leisure,IT,Superior Double,10,10,10,10,10,10,10,Great stay,Good value for money.,True
BKG-10190,Booking.com,ru,2025-06-04,2,Family,Leisure,IT,Superior Double,7,7,6,8,7,7,10,Decent for short stay,Air conditioning was weak. Wi‑Fi kept disconnecting.,False
BKG-10076,Booking.com,it,2025-06-04,1,Solo,Leisure,DE,Twin,9,8,9,9,10,7,7,Great stay,Excellent coffee and nice terrace.,True
BKG-10057,Booking.com,en,2025-06-05,2,Couple,Business,PL,Twin,5,5,5,8,5,5,5,Could be better,Air conditioning was weak.,False
BKG-10044,Booking.com,fr,2025-06-06,1,Solo,Business,IT,Standard Double,8,10,8,8,10,9,6,Decent for short stay,Excellent coffee and nice terrace.,False
BKG-10055,Booking.com,it,2025-06-06,4,Couple,Leisure,NL,Standard Double,9,10,10,10,10,8,10,Great stay,Room was clean and comfortable.,True
BKG-10122,Booking.com,it,2025-06-06,2,Couple,Leisure,UA,Single,9,9,10,7,10,10,9,Great stay,Excellent coffee and nice terrace.,True
BKG-10213,Booking.com,it,2025-06-07,2,Couple,Business,IT,Superior Double,8,7,9,7,9,7,9,Decent for short stay,Room was clean and comfortable.,True
BKG-10023,Booking.com,pl,2025-06-08,2,Business,Business,IT,Standard Double,7,7,7,8,8,7,6,Decent for short stay,Room was smaller than expected.,False
BKG-10002,Booking.com,it,2025-06-08,2,Couple,Leisure,CH,Twin,7,4,5,6,10,7,6,Decent for short stay,Too expensive for what you get.,False
BKG-10110,Booking.com,it,2025-06-09,1,Family,Leisure,IT,Family Room,3,4,2,4,6,4,3,Could be better,Wi‑Fi kept disconnecting.,False
BKG-10012,Booking.com,en,2025-06-09,2,Couple,Leisure,CH,Single,6,7,6,5,6,6,6,Could be better,Breakfast felt limited and repetitive. Too expensive for what you get.,False
BKG-10125,Booking.com,en,2025-06-10,1,Business,Business,US,Standard Double,8,9,9,10,9,7,9,Decent for short stay,Good value for money.,True
BKG-10043,Booking.com,pl,2025-06-10,2,Family,Leisure,IT,Superior Double,10,10,10,10,10,9,10,Great stay,Staff was very kind and helpful.,True
BKG-10208,Booking.com,uk,2025-06-10,1,Business,Business,IT,Superior Double,10,9,10,10,10,10,9,Great stay,"Great breakfast with fresh options. Excellent coffee and nice terrace. I met my soulmate at breakfast, 11/10.",True
BKG-10046,Booking.com,en,2025-06-10,2,Solo,Leisure,PL,Standard Double,7,8,5,8,7,8,8,Decent for short stay,Breakfast felt limited and repetitive.,False
BKG-10170,Booking.com,de,2025-06-10,1,Couple,Leisure,PL,Standard Double,8,9,8,8,10,8,9,Decent for short stay,Great breakfast with fresh options.,True
BKG-10193,Booking.com,en,2025-06-11,5,Business,Business,FR,Superior Double,10,10,10,10,9,10,10,Great stay,Good value for money.,True
BKG-10085,Booking.com,de,2025-06-11,4,Business,Business,UK,Twin,9,8,9,10,7,9,7,Great stay,Room was clean and comfortable.,True
BKG-10016,Booking.com,it,2025-06-12,3,Couple,Leisure,IT,Standard Double,7,9,8,4,6,7,6,Decent for short stay,Room was smaller than expected.,False
BKG-10090,Booking.com,en,2025-06-12,3,Business,Business,IT,Standard Double,7,6,8,7,8,7,8,Decent for short stay,Room was smaller than expected.,False
BKG-10184,Booking.com,de,2025-06-13,4,Friends,Leisure,US,Twin,7,6,10,5,4,5,6,Decent for short stay,Bathroom needed better cleaning. Breakfast felt limited and repetitive.,False
BKG-10058,Booking.com,ru,2025-06-14,1,Solo,Leisure,IT,Family Room,1,1,1,1,3,3,2,Could be better,Too expensive for what you get.,False
BKG-10215,Booking.com,it,2025-06-14,4,Couple,Leisure,CH,Twin,9,7,9,10,8,9,6,Great stay,"Perfect location, close to the lake. Great breakfast with fresh options.",False
BKG-10106,Booking.com,uk,2025-06-14,1,Couple,Leisure,FR,Standard Double,8,8,9,8,6,7,6,Decent for short stay,Good value for money. Check-in was quick and smooth.,False
BKG-10127,Booking.com,it,2025-06-15,1,Couple,Leisure,CH,Twin,9,8,10,8,9,8,7,Great stay,Great breakfast with fresh options. This croissant cured my Monday sadness.,True
BKG-10116,Booking.com,it,2025-06-15,2,Couple,Leisure,PL,Single,2,1,1,1,3,2,2,Could be better,Could hear noise from the corridor. Bathroom needed better cleaning.,False
BKG-10081,Booking.com,de,2025-06-17,4,Couple,Leisure,IT,Twin,7,5,6,8,6,8,6,Decent for short stay,Room was smaller than expected.,False
BKG-10189,Booking.com,it,2025-06-17,2,Business,Business,IT,Single,9,10,10,6,9,10,7,Great stay,Check-in was quick and smooth.,True
BKG-10123,Booking.com,fr,2025-06-18,4,Solo,Business,UK,Standard Double,7,9,7,6,7,7,8,Decent for short stay,Too expensive for what you get. Room was smaller than expected.,False
BKG-10062,Booking.com,it,2025-06-18,1,Business,Business,IT,Family Room,7,7,6,9,7,8,6,Decent for short stay,Room was smaller than expected. Too expensive for what you get.,False
BKG-10031,Booking.com,en,2025-06-18,4,Couple,Leisure,UA,Twin,8,9,10,8,9,8,7,Decent for short stay,Staff was very kind and helpful.,True
BKG-10199,Booking.com,pl,2025-06-18,4,Couple,Business,UK,Family Room,8,10,8,7,7,7,7,Decent for short stay,Staff was very kind and helpful.,True
BKG-10211,Booking.com,uk,2025-06-19,3,Family,Leisure,UK,Twin,7,8,6,7,7,6,7,Decent for short stay,Breakfast felt limited and repetitive. I expected ocean view in a city without an ocean.,False
BKG-10010,Booking.com,it,2025-06-19,2,Couple,Leisure,IT,Standard Double,10,10,10,8,10,10,9,Great stay,"Perfect location, close to the lake. Excellent coffee and nice terrace. I met my soulmate at breakfast, 11/10.",True
BKG-10154,Booking.com,pl,2025-06-20,2,Family,Leisure,UK,Superior Double,8,8,9,7,8,8,7,Decent for short stay,Check-in was quick and smooth.,True
BKG-10212,Booking.com,it,2025-06-20,1,Couple,Leisure,UA,Superior Double,6,4,5,5,8,8,6,Could be better,Room was smaller than expected.,False
BKG-10059,Booking.com,it,2025-06-20,1,Business,Business,IT,Standard Double,9,9,7,10,9,9,10,Great stay,Good value for money.,True
BKG-10077,Booking.com,es,2025-06-21,1,Couple,Leisure,IT,Twin,6,6,5,7,4,7,4,Could be better,Air conditioning was weak.,False
BKG-10011,Booking.com,it,2025-06-21,2,Family,Leisure,IT,Twin,1,1,3,1,3,1,1,Could be better,Air conditioning was weak.,False
BKG-10066,Booking.com,it,2025-06-22,3,Family,Leisure,IT,Standard Double,9,8,10,9,10,9,7,Great stay,"Quiet at night, slept really well.",True
BKG-10111,Booking.com,en,2025-06-22,5,Solo,Leisure,UK,Standard Double,8,9,7,8,10,8,9,Decent for short stay,"Perfect location, close to the lake.",True
BKG-10192,Booking.com,ru,2025-06-22,3,Couple,Leisure,UA,Superior Double,7,6,7,6,7,7,7,Decent for short stay,Room was smaller than expected. Room was smaller than expected.,False
BKG-10200,Booking.com,uk,2025-06-23,2,Solo,Leisure,UA,Standard Double,8,9,8,6,10,7,7,Decent for short stay,Check-in was quick and smooth. Staff was very kind and helpful.,True
BKG-10166,Booking.com,en,2025-06-23,1,Business,Business,IT,Superior Double,8,9,8,7,8,6,8,Decent for short stay,Good value for money.,True
BKG-10155,Booking.com,en,2025-06-23,2,Couple,Leisure,FR,Standard Double,5,4,7,6,5,3,5,Could be better,Bathroom needed better cleaning.,False
BKG-10089,Booking.com,pl,2025-06-24,2,Couple,Leisure,NL,Single,8,8,9,8,7,8,7,Decent for short stay,Check-in was quick and smooth.,True
BKG-10049,Booking.com,en,2025-06-24,3,Couple,Leisure,IT,Family Room,3,2,3,2,2,2,2,Could be better,Room was smaller than expected.,False
BKG-10093,Booking.com,it,2025-06-25,3,Business,Business,IT,Standard Double,10,10,9,10,10,10,10,Great stay,Great breakfast with fresh options.,True
BKG-10112,Booking.com,pl,2025-06-27,1,Family,Leisure,IT,Twin,10,10,10,9,10,9,9,Great stay,Staff was very kind and helpful.,True
BKG-10130,Booking.com,uk,2025-06-27,2,Couple,Leisure,IT,Standard Double,7,6,6,8,6,8,7,Decent for short stay,Breakfast felt limited and repetitive.,False
BKG-10028,Booking.com,it,2025-06-28,1,Business,Business,UA,Single,8,7,7,8,9,9,7,Decent for short stay,Excellent coffee and nice terrace.,True
BKG-10172,Booking.com,de,2025-06-28,2,Business,Business,IT,Standard Double,5,7,5,4,4,4,5,Could be better,Too expensive for what you get.,False
BKG-10174,Booking.com,de,2025-06-28,1,Solo,Business,IT,Superior Double,8,8,8,7,7,10,10,Decent for short stay,Good value for money. Good value for money.,True
BKG-10209,Booking.com,es,2025-06-30,3,Friends,Leisure,UA,Twin,9,8,9,8,8,10,9,Great stay,"Perfect location, close to the lake.",True
BKG-10197,Booking.com,uk,2025-06-30,1,Couple,Business,DE,Twin,9,8,9,7,8,8,8,Great stay,Excellent coffee and nice terrace.,True
BKG-10072,Booking.com,pl,2025-06-30,3,Couple,Leisure,DE,Twin,10,10,9,9,10,9,10,Great stay,Staff was very kind and helpful.,True
BKG-10194,Booking.com,de,2025-06-30,3,Couple,Business,IT,Standard Double,8,8,9,9,9,8,7,Decent for short stay,Excellent coffee and nice terrace. Excellent coffee and nice terrace.,True
BKG-10144,Booking.com,it,2025-06-30,3,Couple,Business,DE,Superior Double,9,9,7,9,10,9,8,Great stay,Check-in was quick and smooth.,True
BKG-10088,Booking.com,it,2025-07-02,1,Family,Business,IT,Superior Double,8,6,6,7,7,9,9,Decent for short stay,Room was clean and comfortable.,True
BKG-10030,Booking.com,it,2025-07-02,3,Family,Business,FR,Twin,8,9,10,8,8,6,9,Decent for short stay,"Staff was very kind and helpful. If I could, I'd give 15 stars.",True
BKG-10078,Booking.com,en,2025-07-02,2,Business,Business,PL,Standard Double,7,6,8,10,5,6,5,Decent for short stay,Bathroom needed better cleaning.,False
BKG-10218,Booking.com,fr,2025-07-02,2,Business,Business,FR,Single,7,7,8,9,9,7,6,Decent for short stay,Wi‑Fi kept disconnecting. Wi‑Fi kept disconnecting.,False
